siteid,sitename,county,monitordate,AMB_TEMP_concentration,AMB_TEMP_itemunit,CH4_concentration,CH4_itemunit,CO_concentration,CO_itemunit,NMHC_concentration,NMHC_itemunit,NO_concentration,NO_itemunit,NO2_concentration,NO2_itemunit,NO  _concentration,NO  _itemunit,O3_concentration,O3_itemunit,PM10_concentration,PM10_itemunit,PM2.5_concentration,PM2.5_itemunit,RAINFALL_concentration,RAINFALL_itemunit,RH_concentration,RH_itemunit,SO2_concentration,SO2_itemunit,THC_concentration,THC_itemunit,WD_HR_concentration,WD_HR_itemunit,WIND_DIREC_concentration,WIND_DIREC_itemunit,WIND_SPEED_concentration,WIND_SPEED_itemunit,WS_HR_concentration,WS_HR_itemunit,Temperature,RH,WS,WD,WSGust,WDGust,Precp,file_name,ObsTime
72,Puli,Nantou_County,2024/1/1 00:00,19.5,C,2.18,ppm,0.44,ppm,0.09,ppm,1.5,ppb,9.3,ppb,10.8,ppb,17.2,ppb,38,£gg/m3,37,£gg/m3,0,mm,85,%,1.5,ppb,2.27,ppm,290,degrees,323,degrees,0.7,m/sec,0.3,m/sec,18.5,89,0,0,1.6,258,0,C0H890-2024-01-01.csv,2024/1/1 00:00
72,Puli,Nantou_County,2024/1/1 01:00,19.2,C,2.27,ppm,0.41,ppm,0.07,ppm,1.2,ppb,8.2,ppb,9.4,ppb,14.3,ppb,43,£gg/m3,35,£gg/m3,0,mm,89,%,1.2,ppb,2.34,ppm,301,degrees,278,degrees,1,m/sec,0.3,m/sec,18.5,88,0.3,230,1,216,0,C0H890-2024-01-01.csv,2024/1/1 01:00
72,Puli,Nantou_County,2024/1/1 02:00,19.1,C,2.25,ppm,0.47,ppm,0.1,ppm,0.4,ppb,9.3,ppb,9.8,ppb,9.5,ppb,43,£gg/m3,37,£gg/m3,0,mm,90,%,1.1,ppb,2.36,ppm,291,degrees,295,degrees,0.7,m/sec,0.3,m/sec,18.1,89,0.5,249,1.1,247,0,C0H890-2024-01-01.csv,2024/1/1 02:00
72,Puli,Nantou_County,2024/1/1 03:00,18.7,C,2.24,ppm,0.45,ppm,0.11,ppm,0.7,ppb,8.8,ppb,9.6,ppb,8.4,ppb,43,£gg/m3,36,£gg/m3,0,mm,91,%,1,ppb,2.35,ppm,265,degrees,294,degrees,1,m/sec,0.1,m/sec,17.7,93,0.5,282,1.1,300,0,C0H890-2024-01-01.csv,2024/1/1 03:00
72,Puli,Nantou_County,2024/1/1 04:00,18.3,C,2.24,ppm,0.41,ppm,0.07,ppm,0.7,ppb,7.6,ppb,8.4,ppb,8,ppb,30,£gg/m3,23,£gg/m3,0,mm,93,%,1,ppb,2.31,ppm,319,degrees,349,degrees,0.4,m/sec,0.5,m/sec,17.4,94,0,0,0.8,238,0,C0H890-2024-01-01.csv,2024/1/1 04:00
72,Puli,Nantou_County,2024/1/1 05:00,18,C,2.25,ppm,0.4,ppm,0.07,ppm,0.5,ppb,7.2,ppb,7.8,ppb,6.6,ppb,31,£gg/m3,21,£gg/m3,0,mm,94,%,0.9,ppb,2.31,ppm,201,degrees,333,degrees,0.5,m/sec,0.1,m/sec,16.8,96,0.5,241,1.1,243,0,C0H890-2024-01-01.csv,2024/1/1 05:00
72,Puli,Nantou_County,2024/1/1 06:00,17.5,C,2.24,ppm,0.42,ppm,0.08,ppm,4.4,ppb,8.9,ppb,13.3,ppb,2.5,ppb,33,£gg/m3,23,£gg/m3,0,mm,96,%,1,ppb,2.31,ppm,315,degrees,326,degrees,0.5,m/sec,0.4,m/sec,16.8,97,0,0,1.5,322,0,C0H890-2024-01-01.csv,2024/1/1 06:00
72,Puli,Nantou_County,2024/1/1 07:00,17.6,C,2.19,ppm,0.42,ppm,0.08,ppm,2.2,ppb,6.4,ppb,8.6,ppb,5.5,ppb,31,£gg/m3,25,£gg/m3,0,mm,96,%,0.9,ppb,2.27,ppm,314,degrees,292,degrees,0.4,m/sec,0.4,m/sec,17.4,94,0,0,0.8,232,0,C0H890-2024-01-01.csv,2024/1/1 07:00
72,Puli,Nantou_County,2024/1/1 08:00,18.2,C,2.22,ppm,0.52,ppm,0.13,ppm,6.6,ppb,8.5,ppb,15.1,ppb,6.9,ppb,32,£gg/m3,23,£gg/m3,0,mm,93,%,1,ppb,2.35,ppm,242,degrees,254,degrees,0.4,m/sec,0.3,m/sec,18.9,87,0,0,1.1,325,0,C0H890-2024-01-01.csv,2024/1/1 08:00
72,Puli,Nantou_County,2024/1/1 09:00,19.9,C,2.21,ppm,0.55,ppm,0.16,ppm,6.2,ppb,9.5,ppb,15.7,ppb,13.6,ppb,42,£gg/m3,29,£gg/m3,0,mm,85,%,1.2,ppb,2.37,ppm,311,degrees,313,degrees,0.7,m/sec,0.3,m/sec,20.7,76,0.3,186,1.5,33,0,C0H890-2024-01-01.csv,2024/1/1 09:00
72,Puli,Nantou_County,2024/1/1 10:00,21.8,C,2.13,ppm,0.44,ppm,0.1,ppm,3.3,ppb,6.6,ppb,9.9,ppb,28.7,ppb,33,£gg/m3,21,£gg/m3,0,mm,71,%,1.2,ppb,2.23,ppm,42,degrees,331,degrees,1.1,m/sec,0.3,m/sec,22.2,68,0.6,326,1.7,302,0,C0H890-2024-01-01.csv,2024/1/1 10:00
72,Puli,Nantou_County,2024/1/1 11:00,23.4,C,2.08,ppm,0.35,ppm,0.06,ppm,1.7,ppb,5.1,ppb,6.9,ppb,45.5,ppb,25,£gg/m3,20,£gg/m3,0,mm,62,%,1.2,ppb,2.14,ppm,271,degrees,281,degrees,1.2,m/sec,0.6,m/sec,23.6,62,0.7,356,2.3,325,0,C0H890-2024-01-01.csv,2024/1/1 11:00
72,Puli,Nantou_County,2024/1/1 12:00,24.3,C,2.06,ppm,0.32,ppm,0.04,ppm,0.8,ppb,2.9,ppb,3.8,ppb,52.7,ppb,30,£gg/m3,22,£gg/m3,0,mm,59,%,1.4,ppb,2.1,ppm,287,degrees,286,degrees,2.6,m/sec,1.4,m/sec,24,60,2.5,306,4.1,309,0,C0H890-2024-01-01.csv,2024/1/1 12:00
72,Puli,Nantou_County,2024/1/1 13:00,24.8,C,2.06,ppm,0.3,ppm,0.03,ppm,0.5,ppb,1.8,ppb,2.3,ppb,54.3,ppb,25,£gg/m3,22,£gg/m3,0,mm,56,%,1.3,ppb,2.1,ppm,292,degrees,300,degrees,3.5,m/sec,2.4,m/sec,23.7,59,3.2,289,5.9,287,0,C0H890-2024-01-01.csv,2024/1/1 13:00
72,Puli,Nantou_County,2024/1/1 14:00,23.9,C,2.13,ppm,0.37,ppm,0.04,ppm,0.4,ppb,2.9,ppb,3.3,ppb,59.7,ppb,38,£gg/m3,24,£gg/m3,0,mm,56,%,1.3,ppb,2.17,ppm,293,degrees,295,degrees,3.4,m/sec,3.4,m/sec,22.8,58,2.7,310,6.5,321,0,C0H890-2024-01-01.csv,2024/1/1 14:00
72,Puli,Nantou_County,2024/1/1 15:00,22.9,C,2.11,ppm,0.38,ppm,0.05,ppm,0.7,ppb,3.7,ppb,4.4,ppb,63,ppb,34,£gg/m3,22,£gg/m3,0,mm,56,%,1.5,ppb,2.16,ppm,296,degrees,292,degrees,2.8,m/sec,2.7,m/sec,22.3,58,2.4,279,5.2,316,0,C0H890-2024-01-01.csv,2024/1/1 15:00
